CLAVE MONITOREO,CLAVE SITIO,NOMBRE DEL SITIO,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD,FECHA,Alk,Cond,Hard,TDS,Fe,Mn,F,FC,NO3N,As,Cd,Cr,Hg,Pb
DLZAC2623M1-010919,DLZAC2623M1,SAUCEDA DE LA BORDA,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,VETAGRANDE,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.85651,-102.43731,2019-08-28,200.265,485.0,131.9358,322.0,0.0388,0.0015,0.4443,10.0,1.450945,0.0254,0.003,0.0085,0.0005,0.005
DLZAC2623M1-060920,DLZAC2623M1,SAUCEDA DE LA BORDA,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,VETAGRANDE,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.85651,-102.43731,2020-09-04,207.57,506.0,123.504,269.2,0.0316,0.0015,0.4373,10.0,1.50052,0.0202,0.003,0.0091,0.0005,0.005
DLZAC2627-040514,DLZAC2627,FRACC. CHE GUEVARA,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.72228,-102.49688,2014-05-01,188.1,446.0,69.0,322.0,0.334,0.0027,1.308,31.0,1.73,0.01,0.003,0.005,0.0005,0.005
DLZAC2627-030515,DLZAC2627,FRACC. CHE GUEVARA,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.72228,-102.49688,2015-10-21,200.85,509.0,105.98,318.5,1.074,0.0341,1.1208,10.0,3.415753,0.01,0.003,0.005,0.0005,0.005
DLZAC2627-091016,DLZAC2627,FRACC. CHE GUEVARA,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.72228,-102.49688,2016-06-26,198.72,484.0,65.13,300.0,0.3795,0.0159,1.197,1.0,1.322303,0.01,0.003,0.005,0.0005,0.005
DLZAC2627-151017,DLZAC2627,FRACC. CHE GUEVARA,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.72228,-102.49688,2017-10-04,190.32,420.0,123.288,314.0,0.025,0.0015,1.5245,10.0,2.03586,0.0675,0.003,0.005,0.0005,0.005
DLZAC2627-200518,DLZAC2627,FRACC. CHE GUEVARA,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.72228,-102.49688,2018-08-15,206.8,474.0,76.9196,288.0,0.0631,0.0033,1.2714,10.0,2.148741,0.0108,0.003,0.005,0.0005,0.005
DLZAC2627-071018,DLZAC2627,FRACC. CHE GUEVARA,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.72228,-102.49688,2018-10-15,185.525,465.0,79.896,308.0,0.06117,0.0038,1.3457,52.0,2.614204,0.01566,0.003,0.005,0.0005,0.005
DLZAC2627-230619,DLZAC2627,FRACC. CHE GUEVARA,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.72228,-102.49688,2019-06-19,193.67,455.0,70.9261,264.0,0.0784,0.0021,1.3037,10.0,2.336226,0.01,0.003,0.005,0.0005,0.005
DLZAC2627-300820,DLZAC2627,FRACC. CHE GUEVARA,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.72228,-102.49688,2020-08-30,195.36,472.0,81.5654,284.6667,0.0286,0.0015,1.3018,2481.0,2.655231,0.01,0.003,0.0051,0.0005,0.005
DLZAC2628-040514,DLZAC2628,CIENEGUITAS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.71613,-102.50675,2014-05-01,182.2,439.0,103.0,328.0,0.262,0.0018,1.173,620.0,1.504,0.0146,0.003,0.005,0.0005,0.005
DLZAC2628-030515,DLZAC2628,CIENEGUITAS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.71613,-102.50675,2015-05-04,180.4,401.0,98.03,276.0,0.025,0.0015,1.125213,1.0,1.563633,0.026,0.003,0.005,0.0005,0.005
DLZAC2628-091016,DLZAC2628,CIENEGUITAS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.71613,-102.50675,2016-06-28,182.88,428.0,107.87,300.5,0.025,0.0015,1.1531,1.0,1.045933,0.01,0.003,0.0051,0.0005,0.005
DLZAC2628-151017,DLZAC2628,CIENEGUITAS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.71613,-102.50675,2017-10-04,191.36,418.0,110.9592,294.0,0.0297,0.0015,1.0956,10.0,1.65167,0.0181,0.003,0.005,0.0005,0.005
DLZAC2628-200518,DLZAC2628,CIENEGUITAS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.71613,-102.50675,2018-05-27,186.55,498.0,101.504,312.0,0.025,0.0015,1.1536,10.0,1.640818,0.0235,0.003,0.005,0.0005,0.005
DLZAC2628-071018,DLZAC2628,CIENEGUITAS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.71613,-102.50675,2018-10-05,190.65,456.0,105.0804,320.0,0.025,0.0015,1.1553,10.0,1.699831,0.0254,0.003,0.005,0.0005,0.005
DLZAC2628-230619,DLZAC2628,CIENEGUITAS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.71613,-102.50675,2019-06-19,178.69,419.0,95.1139,298.0,0.025,0.0015,1.0882,10.0,1.617084,0.028,0.003,0.005,0.0005,0.005
DLZAC2628-300820,DLZAC2628,CIENEGUITAS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.71613,-102.50675,2020-08-30,186.48,444.0,101.4594,303.6667,0.025,0.0015,1.1432,10.0,1.630598,0.0217,0.003,0.0051,0.0005,0.005
DLZAC2629-020613,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2013-05-29,175.12,439.0,152.0,280.96,0.025,0.0015,1.0068,1.0,4.1502,0.0229,0.003,0.005,0.0005,0.005
DLZAC2629-040514,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2014-05-01,183.2,442.0,122.0,242.5,0.245,0.0015,1.032,109.0,2.085,0.01,0.003,0.005,0.0005,0.005
DLZAC2629-030515,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2015-05-04,179.3,388.0,123.24,308.0,0.025,0.0015,1.000909,10.0,2.369022,0.01,0.003,0.005,0.0005,0.005
DLZAC2629-091016,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2016-06-26,183.6,428.0,132.29,364.0,0.0581,0.0015,0.9763,1.0,1.666615,0.01,0.003,0.0124,0.0005,0.005
DLZAC2629-151017,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2017-10-04,205.92,399.0,135.6168,306.0,0.025,0.0015,0.9792,10.0,2.47961,0.01,0.003,0.005,0.0005,0.005
DLZAC2629-200518,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2018-05-27,183.475,586.0,124.928,322.0,0.025,0.0015,1.114,10.0,2.476233,0.0221,0.003,0.005,0.0005,0.005
DLZAC2629-071018,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2018-10-05,182.45,472.0,131.8656,342.0,0.025,0.0015,1.1473,10.0,2.130998,0.0228,0.003,0.005,0.0005,0.005
DLZAC2629-230619,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2019-06-19,181.9,415.0,115.0595,312.0,0.025,0.0015,1.1513,10.0,2.265721,0.0408,0.003,0.005,0.0005,0.005
DLZAC2629-300820,DLZAC2629,SAN JERONIMO,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.66717,-102.51749,2020-08-30,185.37,429.0,119.364,325.6667,0.0288,0.0015,1.1274,10.0,2.105194,0.0196,0.003,0.005,0.0005,0.005
DLZAC2630-040514,DLZAC2630,BAÑUELOS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.65815,-102.52832,2014-05-01,191.1,443.0,142.0,306.0,0.242,0.0015,1.094,85.0,1.283,0.0164,0.003,0.005,0.0005,0.005
DLZAC2630-030515,DLZAC2630,BAÑUELOS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.65815,-102.52832,2015-05-04,188.1,423.0,130.7,292.0,0.025,0.0015,1.033629,20.0,1.352732,0.0146,0.003,0.005,0.0005,0.005
DLZAC2630-091016,DLZAC2630,BAÑUELOS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.65815,-102.52832,2016-06-26,192.24,467.0,136.36,332.0,0.0659,0.0015,1.0329,41.0,0.922261,0.01,0.003,0.005,0.010173,0.005
DLZAC2630-151017,DLZAC2630,BAÑUELOS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.65815,-102.52832,2017-10-04,201.76,460.0,139.7264,292.0,0.025,0.0015,1.0204,109.0,1.33682,0.014,0.003,0.005,0.0005,0.005
DLZAC2630-071018,DLZAC2630,BAÑUELOS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.65815,-102.52832,2018-10-05,186.55,488.0,144.228,306.0,0.025,0.0015,1.0589,31.0,1.386001,0.0216,0.003,0.005,0.0005,0.005
DLZAC2630-230619,DLZAC2630,BAÑUELOS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.65815,-102.52832,2019-06-19,189.39,497.0,128.9024,300.0,0.025,0.0015,0.9912,301.0,1.448669,0.0259,0.003,0.005,0.0005,0.005
DLZAC2630-300820,DLZAC2630,BAÑUELOS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.65815,-102.52832,2020-08-30,195.36,473.0,131.3004,281.0,0.025,0.0015,1.1465,10.0,1.333801,0.0135,0.003,0.005,0.0005,0.005
DLZAC2630-120921,DLZAC2630,BAÑUELOS,3227,GUADALUPE BAÑUELOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,GUADALUPE,ACUÍFERO GUADALUPE BAÑUELOS,SUBTERRÁNEO,POZO,22.65815,-102.52832,2021-09-10,190.275,449.0,129.831,291.2,0.025,0.0015,1.1378,435.0,1.32671,0.0239,0.003,0.005,0.0005,0.005
DLZAC2632-020613,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2013-05-29,165.17,434.0,152.0,277.76,0.0974,0.0015,0.8912,1.0,3.3142,0.0226,0.003,0.005,0.0005,0.005
DLZAC2632-150614,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2014-06-12,162.6,434.0,140.0,274.0,0.025,0.0015,0.935,10.0,3.398,0.0264,0.003,0.005,0.0005,0.005
DLZAC2632-140615,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2015-06-18,163.82,544.0,135.66,284.0,0.025,0.0015,0.9751,1.0,3.602837,0.0131,0.003,0.005,0.0005,0.005
DLZAC2632-100716,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2016-09-19,162.75,604.0,142.46,252.0,0.0553,0.0015,0.9277,1.0,3.710089,0.0242,0.003,0.005,0.0005,0.005
DLZAC2632-291017,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2017-10-18,165.36,517.3,141.381,284.0,0.025,0.0015,0.8664,10.0,2.09279,0.0336,0.003,0.005,0.0005,0.005
DLZAC2632-030618,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2018-07-06,166.86,430.0,138.996,248.0,0.36663,0.08607,0.7595,10.0,1.525221,0.03543,0.003,0.005,0.0005,0.005
DLZAC2632-021218,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2018-11-27,171.13,317.0,106.6824,244.0,0.324,0.0646,0.8351,10.0,0.020094,0.0198,0.003,0.005,0.0005,0.005
DLZAC2632-010919,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2019-08-28,152.865,324.0,99.6857,226.0,0.6019,0.019,0.6333,10.0,0.205528,0.0262,0.003,0.005,0.0005,0.005
DLZAC2632-060920,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2020-09-02,168.72,328.0,109.56,285.6667,0.0322,0.0015,1.8961,670.0,1.596549,0.01,0.003,0.005,0.0005,0.005
DLZAC2632-120921,DLZAC2632,TRANCOSO,3226,CHUPADEROS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,TRANCOSO,ACUÍFERO CHUPADEROS,SUBTERRÁNEO,POZO,22.77001,-102.31134,2021-09-09,165.55,439.0,133.8258,270.8,0.0336,0.0015,0.9112,10.0,3.583978,0.0335,0.003,0.005,0.0005,0.005
DLZAC2633-280615,DLZAC2633,LA QUEMADA,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.40547,-102.8707,2015-06-30,178.48,372.0,90.13,288.0,0.025,0.0015,1.151674,1.0,1.430533,0.01,0.003,0.005,0.0005,0.005
DLZAC2633-050616,DLZAC2633,LA QUEMADA,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.40547,-102.8707,2016-09-13,176.85,500.0,94.17,292.0,0.1117,0.0017,1.0918,1.0,1.291118,0.01,0.003,0.005,0.0005,0.005
DLZAC2633-151017,DLZAC2633,LA QUEMADA,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.40547,-102.8707,2017-10-03,171.175,374.0,92.466,276.0,0.0311,0.0015,1.2178,31.0,1.32207,0.01,0.003,0.005,0.0005,0.005
DLZAC2633-200518,DLZAC2633,LA QUEMADA,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.40547,-102.8707,2018-05-25,168.1,427.0,89.792,268.0,0.025,0.0015,1.2924,20.0,1.512044,0.01,0.003,0.005,0.0005,0.005
DLZAC2633-211018,DLZAC2633,LA QUEMADA,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.40547,-102.8707,2018-10-15,167.075,375.0,87.8856,252.0,0.025,0.0015,1.3103,10.0,1.516785,0.01,0.003,0.005,0.0005,0.005
DLZAC2633-230619,DLZAC2633,LA QUEMADA,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.40547,-102.8707,2019-06-17,171.2,370.0,130.242,252.0,0.0416,0.0015,1.2224,10.0,1.517875,0.0116,0.003,0.005,0.0005,0.005
DLZAC2633-300820,DLZAC2633,LA QUEMADA,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.40547,-102.8707,2020-08-27,169.83,378.0,97.4806,274.2,0.0318,0.0015,1.2381,10.0,1.293668,0.01,0.003,0.005,0.0005,0.005
DLZAC2634-150614,DLZAC2634,TENANGO,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.28876,-102.88506,2014-06-12,178.7,396.0,96.0,284.0,0.025,0.0015,2.713,125.0,0.955,0.01,0.003,0.005,0.0005,0.005
DLZAC2634-280615,DLZAC2634,TENANGO,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.28876,-102.88506,2015-06-30,184.3,407.0,102.14,296.0,0.025,0.0015,2.494485,1.0,0.867082,0.01,0.003,0.005,0.0005,0.005
DLZAC2634-050616,DLZAC2634,TENANGO,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.28876,-102.88506,2016-09-13,187.71,451.0,96.26,292.0,0.4137,0.0282,2.7173,1.0,0.962908,0.01,0.003,0.005,0.0005,0.005
DLZAC2634-151017,DLZAC2634,TENANGO,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.28876,-102.88506,2017-10-03,183.475,399.0,94.5208,276.0,0.025,0.0015,2.7002,134.0,0.82462,0.01065,0.003,0.005,0.0005,0.005
DLZAC2634-200518,DLZAC2634,TENANGO,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.28876,-102.88506,2018-05-25,178.35,452.0,89.792,280.0,0.0321,0.0015,2.7537,10.0,1.009033,0.01,0.003,0.005,0.0005,0.005
DLZAC2634-211018,DLZAC2634,TENANGO,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.28876,-102.88506,2018-10-15,179.375,410.0,91.8804,252.0,0.03286,0.0015,2.7664,31.0,1.021132,0.01,0.003,0.005,0.0005,0.005
DLZAC2634-230619,DLZAC2634,TENANGO,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.28876,-102.88506,2019-06-17,179.76,410.0,94.7045,262.0,0.025,0.0015,2.6245,10.0,0.89887,0.01,0.003,0.005,0.0005,0.005
DLZAC2634-300820,DLZAC2634,TENANGO,3211,VILLANUEVA,LERMA SANTIAGO PACÍFICO,ZACATECAS,VILLANUEVA,ACUÍFERO VILLANUEVA,SUBTERRÁNEO,POZO,22.28876,-102.88506,2020-08-27,183.15,436.0,85.5442,261.2,0.0615,0.002,2.6145,10.0,0.859095,0.01,0.003,0.005,0.0005,0.005
DLZAC2635M1-160314,DLZAC2635M1,PINOS,3231,PINOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,PINOS,ACUÍFERO PINOS,SUBTERRÁNEO,POZO,22.3024,-101.67815,2014-03-12,169.7,517.0,136.5,366.0,0.099,0.0015,1.699,10.0,3.961,0.0145,0.003,0.005,0.0005,0.005
DLZAC2635M1-150315,DLZAC2635M1,PINOS,3231,PINOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,PINOS,ACUÍFERO PINOS,SUBTERRÁNEO,POZO,22.3024,-101.67815,2015-03-09,167.13,505.0,122.71,392.0,0.1483,0.0015,1.52733,1.0,4.1708,0.01,0.003,0.005,0.0005,0.005
DLZAC2635M1-050616,DLZAC2635M1,PINOS,3231,PINOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,PINOS,ACUÍFERO PINOS,SUBTERRÁNEO,POZO,22.3024,-101.67815,2016-08-24,179.85,646.0,136.55,364.0,0.025,0.0015,1.5938,20.0,5.575592,0.01,0.003,0.005,0.0005,0.005
DLZAC2635M1-221017,DLZAC2635M1,PINOS,3231,PINOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,PINOS,ACUÍFERO PINOS,SUBTERRÁNEO,POZO,22.3024,-101.67815,2017-10-11,183.04,525.0,135.234,342.0,0.276,0.0045,1.4568,10.0,4.86943,0.0149,0.003,0.005,0.0005,0.005
DLZAC2635M1-270518,DLZAC2635M1,PINOS,3231,PINOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,PINOS,ACUÍFERO PINOS,SUBTERRÁNEO,POZO,22.3024,-101.67815,2018-05-30,182.45,549.0,130.784,336.0,0.025,0.0017,1.6334,10.0,5.539253,0.0193,0.003,0.005,0.0005,0.005
DLZAC2635M1-041118,DLZAC2635M1,PINOS,3231,PINOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,PINOS,ACUÍFERO PINOS,SUBTERRÁNEO,POZO,22.3024,-101.67815,2018-10-28,178.77,503.0,132.8213,340.0,0.1493,0.0015,1.5994,41.0,5.624661,0.027,0.003,0.005,0.0005,0.005
DLZAC2635M1-010919,DLZAC2635M1,PINOS,3231,PINOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,PINOS,ACUÍFERO PINOS,SUBTERRÁNEO,POZO,22.3024,-101.67815,2019-08-27,170.64,491.0,131.6978,360.0,0.3026,0.0043,1.59,10.0,6.341473,0.0207,0.003,0.005,0.0005,0.005
DLZAC2635M1-060920,DLZAC2635M1,PINOS,3231,PINOS,CUENCAS CENTRALES DEL NORTE,ZACATECAS,PINOS,ACUÍFERO PINOS,SUBTERRÁNEO,POZO,22.3024,-101.67815,2020-09-03,176.49,525.0,119.52,329.6667,0.0815,0.0015,1.5577,10.0,5.962196,0.0173,0.003,0.005,0.0005,0.005
DLZAC2640-230214,DLZAC2640,POZO SANTA BARBARA,3214,AGUANAVAL,CUENCAS CENTRALES DEL NORTE,ZACATECAS,FRESNILLO,ACUÍFERO AGUANAVAL,SUBTERRÁNEO,POZO,23.01389,-103.19989,2014-02-20,143.64,448.0,139.9,244.0,0.0503,0.0015,2.083,1.0,1.341,0.01,0.003,0.005,0.0005,0.005
DLZAC2640-240416,DLZAC2640,POZO SANTA BARBARA,3214,AGUANAVAL,CUENCAS CENTRALES DEL NORTE,ZACATECAS,FRESNILLO,ACUÍFERO AGUANAVAL,SUBTERRÁNEO,POZO,23.01389,-103.19989,2016-06-22,162.0,370.0,79.37,268.0,0.0376,0.0015,2.4911,1.0,0.907901,0.01,0.003,0.005,0.0005,0.005
